"Team","Event","Date","Friday","Friday-text","Sunday","Sunday-text","Weekend","City","State"
"Fire18U","Canfield Pumpkin Smash","10/08/22","10/07/22","10/07","10/09/22","10/09","10/07 - 10/09"," Canfield"," OH"
"Fire18U","Halloween Havoc","10/29/22","10/28/22","10/28","10/30/22","10/30","10/28 - 10/30"," North Ridgeville"," OH"
"Fire16U","Pumpkin Smash Vs. Emeralds '07","10/22/22","10/21/22","10/21","10/23/22","10/23","10/21 - 10/23"," North Ridgeville"," OH"
"Fire16U","VS. Roc Elite","10/16/22","10/14/22","10/14","10/16/22","10/16","10/14 - 10/16"," Youngstown"," OH"
"Fire2008","J-Town Showdown","07/14/23","07/14/23","07/14","07/16/23","07/16","07/14 - 07/16"," Jefferson"," OH"
"Fire2008","Maple Leaf East","06/02/23","06/02/23","06/02","06/04/23","06/04","06/02 - 06/04",,
"Fire2008","Valley Extreme Haunted Trail Classic","10/01/22","09/30/22","09/30","10/02/22","10/02","09/30 - 10/02"," Warren"," OH"
"Fire2008","World Series","07/20/23","07/20/23","07/20","07/23/23","07/23","07/20 - 07/23"," Columbus"," OH"
"Fire2009","50 Legs McCune","07/21/23","07/21/23","07/21","07/23/23","07/23","07/21 - 07/23",,
"Fire2009","Cambridge Crush","06/30/23","06/30/23","06/30","07/02/23","07/02","06/30 - 07/02",,
"Fire2009","Choose Joy","05/12/23","05/12/23","05/12","05/14/23","05/14","05/12 - 05/14",,
"Fire2009","Cinco De Mayo","05/05/23","05/05/23","05/05","05/07/23","05/07","05/05 - 05/07",,
"Fire2009","June Slugfest","06/09/23","06/09/23","06/09","06/11/23","06/11","06/09 - 06/11",,
"Fire2009","Memorial Day Madness 2","05/26/23","05/26/23","05/26","05/28/23","05/28","05/26 - 05/28",,
"Fire2009","Showdown In The Valley","04/29/23","04/28/23","04/28","04/30/23","04/30","04/28 - 04/30",,
"Fire2009"," Orwell","10/16/22","10/14/22","10/14","10/16/22","10/16","10/14 - 10/16"," Orwell"," OH"
"Fire2009"," New Castle","11/25/22","11/25/22","11/25","11/27/22","11/27","11/25 - 11/27"," New Castle"," PA"
"Fire2010","50 Legs Tournament (Tenative)","07/21/23","07/21/23","07/21","07/23/23","07/23","07/21 - 07/23"," Canfield"," Ohio"
"Fire2010","Border Wars","05/20/23","05/19/23","05/19","05/21/23","05/21","05/19 - 05/21"," Austintown"," Ohio"
"Fire2010","Choose Joy Tournament","05/12/23","05/12/23","05/12","05/14/23","05/14","05/12 - 05/14",,
"Fire2010","Cinco De Mayo Fiesta","05/05/23","05/05/23","05/05","05/07/23","05/07","05/05 - 05/07"," New Franklin"," OH"
"Fire2010","Memorial Day Madness-Firestone Park","05/27/23","05/26/23","05/26","05/28/23","05/28","05/26 - 05/28",,
"Fire2010","Mingo Madness","06/23/23","06/23/23","06/23","06/25/23","06/25","06/23 - 06/25"," Logan"," Ohio"
"Fire2010","Ohio Magic Father's Day Classic","06/16/23","06/16/23","06/16","06/18/23","06/18","06/16 - 06/18"," Youngstown"," OH"
"Fire2010","Sluggers June Slugfest","06/09/23","06/09/23","06/09","06/11/23","06/11","06/09 - 06/11",,
"Fire2011","Halloween Friendlies","10/15/22","10/14/22","10/14","10/16/22","10/16","10/14 - 10/16"," Leavittsburg"," OH"
"Fire2011","Monster Bash","10/22/22","10/21/22","10/21","10/23/22","10/23","10/21 - 10/23"," Newton Falls"," OH"
"Fire2012","Choose Joy Tounrament","05/12/23","05/12/23","05/12","05/14/23","05/14","05/12 - 05/14"," Canfield"," OH"
"Fire2012","Cinco De Mayo Fiesta","05/05/23","05/05/23","05/05","05/07/23","05/07","05/05 - 05/07"," Akron"," OH"
"Fire2012","Haunted Trail Classic","09/30/22","09/30/22","09/30","10/02/22","10/02","09/30 - 10/02"," Warren"," OH"
"Fire2012","Honor Our Veterans Classic","11/12/22","11/11/22","11/11","11/13/22","11/13","11/11 - 11/13",,
"Fire2012","Hopes Turn At Bat","07/21/23","07/21/23","07/21","07/23/23","07/23","07/21 - 07/23","Mayfield"," Ohio"
"Fire2012","J-Town Showdown","07/14/23","07/14/23","07/14","07/16/23","07/16","07/14 - 07/16","Madison"," OH"
"Fire2012","Memorial Day Madness","05/26/23","05/26/23","05/26","05/28/23","05/28","05/26 - 05/28"," Akron"," OH"
"Fire2012","Ohio Magic Fatherâ€™s Day Classic","06/16/23","06/16/23","06/16","06/18/23","06/18","06/16 - 06/18"," Youngstown"," OH"
"Fire2012","Sluggers June Slugfest","06/09/23","06/09/23","06/09","06/11/23","06/11","06/09 - 06/11"," New Middletown"," OH"
